ticker
LQD
BND
AGG
VTEB
USHY
HYG
HYMB
MUB
BIL
EDV
TLT
BIV
IEF
BNDX
VEA
VXUS
VEU
VWO
SPDW
SCHD
VYM
VIG
SPYD
VTV
VDC
XLK
ITOT
VTI
IWF
VUG
QQQ
SPY
IVV
VGT
IJH
IWR
JPST
MBB
PFF
SCHH
ICF
VNQ
VNQI
IJR
SRI
ICLN
ERTH
TAN
OCEN
SDG
AQWA
CHRI
